Dataset ID,Name,Description
2,anneal,"**Author**: Unknown. Donated by David Sterling and Wray Buntine  

**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Annealing) - 1990  

**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)  



The original Annealing dataset from UCI. The exact meaning of the features and classes is largely unknown. Annealing, in metallurgy and materials science, is a heat treatment that alters the physical and sometimes chemical properties of a material to increase its ductility and reduce its hardness, making it more workable. It involves heating a material to above its recrystallization temperature, maintaining a suitable temperature, and then cooling. (Wikipedia)



### Attribute Information:

     1. family:          --,GB,GK,GS,TN,ZA,ZF,ZH,ZM,ZS

     2. product-type:    C, H, G

     3. steel:           -,R,A,U,K,M,S,W,V

     4. carbon:          continuous

     5. hardness:        continuous

     6. temper_rolling:  -,T

     7. condition:       -,S,A,X

     8. formability:     -,1,2,3,4,5

     9. strength:        continuous

    10. non-ageing:      -,N

    11. surface-finish:  P,M,-

    12. surface-quality: -,D,E,F,G

    13. enamelability:   -,1,2,3,4,5

    14. bc:              Y,-

    15. bf:              Y,-

    16. bt:              Y,-

    17. bw/me:           B,M,-

    18. bl:              Y,-

    19. m:               Y,-

    20. chrom:           C,-

    21. phos:            P,-

    22. cbond:           Y,-

    23. marvi:           Y,-

    24. exptl:           Y,-

    25. ferro:           Y,-

    26. corr:            Y,-

    27. blue/bright/varn/clean:          B,R,V,C,-

    28. lustre:          Y,-

    29. jurofm:          Y,-

    30. s:               Y,-

    31. p:               Y,-

    32. shape:           COIL, SHEET

    33. thick:           continuous

    34. width:           continuous

    35. len:             continuous

    36. oil:             -,Y,N

    37. bore:            0000,0500,0600,0760

    38. packing: -,1,2,3

    classes:        1,2,3,4,5,U

  

    -- The '-' values are actually 'not_applicable' values rather than

       'missing_values' (and so can be treated as legal discrete

       values rather than as showing the absence of a discrete value)."
3,kr-vs-kp,"Author: Alen Shapiro
Source: [UCI](https://archive.ics.uci.edu/ml/datasets/Chess+(King-Rook+vs.+King-Pawn))
Please cite: [UCI citation policy](https://archive.ics.uci.edu/ml/citation_policy.html)

1. Title: Chess End-Game -- King+Rook versus King+Pawn on a7
(usually abbreviated KRKPA7). The pawn on a7 means it is one square
away from queening. It is the King+Rook's side (white) to move.

2. Sources:
(a) Database originally generated and described by Alen Shapiro.
(b) Donor/Coder: Rob Holte (holte@uottawa.bitnet). The database
was supplied to Holte by Peter Clark of the Turing Institute
in Glasgow (pete@turing.ac.uk).
(c) Date: 1 August 1989

3. Past Usage:
- Alen D. Shapiro (1983,1987), ""Structured Induction in Expert Systems"",
Addison-Wesley. This book is based on Shapiro's Ph.D. thesis (1983)
at the University of Edinburgh entitled ""The Role of Structured
Induction in Expert Systems"".
- Stephen Muggleton (1987), ""Structuring Knowledge by Asking Questions"",
pp.218-229 in ""Progress in Machine Learning"", edited by I. Bratko
and Nada Lavrac, Sigma Press, Wilmslow, England SK9 5BB.
- Robert C. Holte, Liane Acker, and Bruce W. Porter (1989),
""Concept Learning and the Problem of Small Disjuncts"",
Proceedings of IJCAI. Also available as technical report AI89-106,
Computer Sciences Department, University of Texas at Austin,
Austin, Texas 78712.

4. Relevant Information:
The dataset format is described below. Note: the format of this
database was modified on 2/26/90 to conform with the format of all
the other databases in the UCI repository of machine learning databases.

5. Number of Instances: 3196 total

6. Number of Attributes: 36

7. Attribute Summaries:
Classes (2): -- White-can-win (""won"") and White-cannot-win (""nowin"").
I believe that White is deemed to be unable to win if the Black pawn
can safely advance.
Attributes: see Shapiro's book.

8. Missing Attributes: -- none

9. Class Distribution:
In 1669 of the positions (52%), White can win.
In 1527 of the positions (48%), White cannot win.

The format for instances in this database is a sequence of 37 attribute values.
Each instance is a board-descriptions for this chess endgame. The first
36 attributes describe the board. The last (37th) attribute is the
classification: ""win"" or ""nowin"". There are 0 missing values.
A typical board-description is

f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,n,won

The names of the features do not appear in the board-descriptions.
Instead, each feature correponds to a particular position in the
feature-value list. For example, the head of this list is the value
for the feature ""bkblk"". The following is the list of features, in
the order in which their values appear in the feature-value list:

[bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,
hdchk,katri,mulch,qxmsq,r2ar8,reskd,reskr,rimmx,rkxwp,rxmsq,simpl,skach,skewr,
skrxp,spcop,stlmt,thrsk,wkcti,wkna8,wknck,wkovl,wkpos,wtoeg]

In the file, there is one instance (board position) per line.


Num Instances: 3196
Num Attributes: 37
Num Continuous: 0 (Int 0 / Real 0)
Num Discrete: 37
Missing values: 0 / 0.0%"
4,labor,"**Author**: Unknown
**Source**: Collective Barganing Review, Labour Canada
**Please cite**: https://archive.ics.uci.edu/ml/citation_policy.html

Date: Tue, 15 Nov 88 15:44:08 EST
 From: stan <stan@csi2.UofO.EDU>
 To: aha@ICS.UCI.EDU
 
 1. Title: Final settlements in labor negotitions in Canadian industry
 
 2. Source Information
    -- Creators: Collective Barganing Review, montly publication,
       Labour Canada, Industrial Relations Information Service,
         Ottawa, Ontario, K1A 0J2, Canada, (819) 997-3117
         The data includes all collective agreements reached
         in the business and personal services sector for locals
         with at least 500 members (teachers, nurses, university
         staff, police, etc) in Canada in 87 and first quarter of 88.   
    -- Donor: Stan Matwin, Computer Science Dept, University of Ottawa,
                 34 Somerset East, K1N 9B4, (stan@uotcsi2.bitnet)
    -- Date: November 1988
  
 3. Past Usage:
    -- testing concept learning software, in particular
       an experimental method to learn two-tiered concept descriptions.
       The data was used to learn the description of an acceptable
       and unacceptable contract.
       The unacceptable contracts were either obtained by interviewing
       experts, or by inventing near misses.
       Examples of use are described in:
         Bergadano, F., Matwin, S., Michalski, R.,
         Zhang, J., Measuring Quality of Concept Descriptions, 
         Procs. of the 3rd European Working Sessions on Learning,
         Glasgow, October 1988.
         Bergadano, F., Matwin, S., Michalski, R., Zhang, J.,
         Representing and Acquiring Imprecise and Context-dependent
         Concepts in Knowledge-based Systems, Procs. of ISMIS'88,
         North Holland, 1988.
 4. Relevant Information:
    -- data was used to test 2tier approach with learning
 from positive and negative examples
 
 5. Number of Instances: 57 
 
 6. Number of Attributes: 16 
 
 7. Attribute Information:
    1.  dur: duration of agreement 
        [1..7]
    2   wage1.wage : wage increase in first year of contract 
        [2.0 .. 7.0]
    3   wage2.wage : wage increase in second year of contract
        [2.0 .. 7.0]
    4   wage3.wage : wage increase in third year of contract
        [2.0 .. 7.0]
    5   cola : cost of living allowance 
        [none, tcf, tc]
    6   hours.hrs : number of working hours during week
        [35 .. 40]
    7   pension : employer contributions to pension plan
        [none, ret_allw, empl_contr]
    8   stby_pay : standby pay
        [2 .. 25]
    9   shift_diff : shift differencial : supplement for work on II and III shift
        [1 .. 25]
   10   educ_allw.boolean : education allowance 
        [true false]
   11   holidays : number of statutory holidays 
        [9 .. 15]
   12   vacation : number of paid vacation days
        [ba, avg, gnr]
   13   lngtrm_disabil.boolean : 
        employer's help during employee longterm disabil
        ity [true , false]
   14   dntl_ins : employers contribution towards the dental plan
        [none, half, full]
   15   bereavement.boolean : employer's financial contribution towards the 
        covering the costs of bereavement
        [true , false]
   16   empl_hplan : employer's contribution towards the health plan
        [none, half, full]
 
 8. Missing Attribute Values: None
 
 9. Class Distribution:
 
 10. Exceptions from format instructions: no commas between attribute values."
5,arrhythmia,"**Author**: H. Altay Guvenir, Burak Acar, Haldun Muderrisoglu  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/arrhythmia)   
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)

**Cardiac Arrhythmia Database**  
The aim is to determine the type of arrhythmia from the ECG recordings. This database contains 279 attributes, 206 of which are linear valued and the rest are nominal. 

Concerning the study of H. Altay Guvenir: ""The aim is to distinguish between the presence and absence of cardiac arrhythmia and to classify it in one of the 16 groups. Class 01 refers to 'normal' ECG classes, 02 to 15 refers to different classes of arrhythmia and class 16 refers to the rest of unclassified ones. For the time being, there exists a computer program that makes such a classification. However, there are differences between the cardiologist's and the program's classification. Taking the cardiologist's as a gold standard we aim to minimize this difference by means of machine learning tools.
 
The names and id numbers of the patients were recently removed from the database.
 
### Attribute Information  
 
       1 Age: Age in years , linear
       2 Sex: Sex (0 = male; 1 = female) , nominal
       3 Height: Height in centimeters , linear
       4 Weight: Weight in kilograms , linear
       5 QRS duration: Average of QRS duration in msec., linear
       6 P-R interval: Average duration between onset of P and Q waves
         in msec., linear
       7 Q-T interval: Average duration between onset of Q and offset
         of T waves in msec., linear
       8 T interval: Average duration of T wave in msec., linear
       9 P interval: Average duration of P wave in msec., linear
      Vector angles in degrees on front plane of:, linear
      10 QRS
      11 T
      12 P
      13 QRST
      14 J
      15 Heart rate: Number of heart beats per minute ,linear
      Of channel DI:
       Average width, in msec., of: linear
       16 Q wave
       17 R wave
       18 S wave
       19 R' wave, small peak just after R
       20 S' wave
       21 Number of intrinsic deflections, linear
       22 Existence of ragged R wave, nominal
       23 Existence of diphasic derivation of R wave, nominal
       24 Existence of ragged P wave, nominal
       25 Existence of diphasic derivation of P wave, nominal
       26 Existence of ragged T wave, nominal
       27 Existence of diphasic derivation of T wave, nominal
      Of channel DII: 
       28 .. 39 (similar to 16 .. 27 of channel DI)
      Of channels DIII:
       40 .. 51
      Of channel AVR:
       52 .. 63
      Of channel AVL:
       64 .. 75
      Of channel AVF:
       76 .. 87
      Of channel V1:
       88 .. 99
      Of channel V2:
       100 .. 111
      Of channel V3:
       112 .. 123
      Of channel V4:
       124 .. 135
      Of channel V5:
       136 .. 147
      Of channel V6:
       148 .. 159
      Of channel DI:
       Amplitude , * 0.1 milivolt, of
       160 JJ wave, linear
       161 Q wave, linear
       162 R wave, linear
       163 S wave, linear
       164 R' wave, linear
       165 S' wave, linear
       166 P wave, linear
       167 T wave, linear
       168 QRSA , Sum of areas of all segments divided by 10,
           ( Area= width * height / 2 ), linear
       169 QRSTA = QRSA + 0.5 * width of T wave * 0.1 * height of T
           wave. (If T is diphasic then the bigger segment is
           considered), linear
      Of channel DII:
       170 .. 179
      Of channel DIII:
       180 .. 189
      Of channel AVR:
       190 .. 199
      Of channel AVL:
       200 .. 209
      Of channel AVF:
       210 .. 219
      Of channel V1:
       220 .. 229
      Of channel V2:
       230 .. 239
      Of channel V3:
       240 .. 249
      Of channel V4:
       250 .. 259
      Of channel V5:
       260 .. 269
      Of channel V6:
       270 .. 279
        
Class code - class - number of instances:
> 
        01             Normal                245
        02             Ischemic changes (Coronary Artery Disease)   44
        03             Old Anterior Myocardial Infarction           15
        04             Old Inferior Myocardial Infarction           15
        05             Sinus tachycardy        13
        06             Sinus bradycardy        25
        07             Ventricular Premature Contraction (PVC)       3
        08             Supraventricular Premature Contraction       2
        09             Left bundle branch block         9 
        10             Right bundle branch block       50
        11             1. degree AtrioVentricular block       0 
        12             2. degree AV block                0
        13             3. degree AV block                0
        14             Left ventricule hypertrophy                4
        15             Atrial Fibrillation or Flutter               5
        16             Others                 22"
6,letter,"**Author**: David J. Slate  
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Letter+Recognition) - 01-01-1991  
**Please cite**: P. W. Frey and D. J. Slate. ""Letter Recognition Using Holland-style Adaptive Classifiers"". Machine Learning 6(2), 1991  

1. TITLE: 
  Letter Image Recognition Data 
 
    The objective is to identify each of a large number of black-and-white
    rectangular pixel displays as one of the 26 capital letters in the English
    alphabet.  The character images were based on 20 different fonts and each
    letter within these 20 fonts was randomly distorted to produce a file of
    20,000 unique stimuli.  Each stimulus was converted into 16 primitive
    numerical attributes (statistical moments and edge counts) which were then
    scaled to fit into a range of integer values from 0 through 15.  We
    typically train on the first 16000 items and then use the resulting model
    to predict the letter category for the remaining 4000.  See the article
    cited above for more details."
7,audiology,"**Author**: Professor Jergen at Baylor College of Medicine
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Audiology+(Standardized))
**Please cite**: Bareiss, E. Ray, & Porter, Bruce (1987). Protos: An Exemplar-Based Learning Apprentice. In the Proceedings of the 4th International Workshop on Machine Learning, 12-23, Irvine, CA: Morgan Kaufmann

**Audiology Database**
This database is a standardized version of the original audiology database (see audiology.* in this directory). The non-standard set of attributes have been converted to a standard set of attributes according to the rules that follow.

* Each property that appears anywhere in the original .data or .test file has been represented as a separate attribute in this file.

* A property such as age_gt_60 is represented as a boolean attribute with values f and t.

* In most cases, a property of the form x(y) is represented as a discrete attribute x() whose possible values are the various y's; air() is an example. There are two exceptions:
** when only one value of y appears anywhere, e.g. static(normal). In this case, x_y appears as a boolean attribute.
** when one case can have two or more values of x, e.g. history(..). All possible values of history are treated as separate boolean attributes.

* Since boolean attributes only appear as positive conditions, each boolean attribute is assumed to be false unless noted as true. The value of multi-value discrete attributes taken as unknown (""?"") unless a value is specified.

* The original case identifications, p1 to p200 in the .data file and t1 to t26 in the .test file, have been added as a unique identifier attribute.

[Note: in the original .data file, p165 has a repeated specification of o_ar_c(normal); p166 has repeated specification of speech(normal) and conflicting values air(moderate) and air(mild). No other problems with the original data were noted.]


### Attribute Information:

age_gt_60: f, t.
air(): mild,moderate,severe,normal,profound.
airBoneGap: f, t.
ar_c(): normal,elevated,absent.
ar_u(): normal,absent,elevated.
bone(): mild,moderate,normal,unmeasured.
boneAbnormal: f, t.
bser(): normal,degraded.
history_buzzing: f, t.
history_dizziness: f, t.
history_fluctuating: f, t.
history_fullness: f, t.
history_heredity: f, t.
history_nausea: f, t.
history_noise: f, t.
history_recruitment: f, t.
history_ringing: f, t.
history_roaring: f, t.
history_vomiting: f, t.
late_wave_poor: f, t.
m_at_2k: f, t.
m_cond_lt_1k: f, t.
m_gt_1k: f, t.
m_m_gt_2k: f, t.
m_m_sn: f, t.
m_m_sn_gt_1k: f, t.
m_m_sn_gt_2k: f, t.
m_m_sn_gt_500: f, t.
m_p_sn_gt_2k: f, t.
m_s_gt_500: f, t.
m_s_sn: f, t.
m_s_sn_gt_1k: f, t.
m_s_sn_gt_2k: f, t.
m_s_sn_gt_3k: f, t.
m_s_sn_gt_4k: f, t.
m_sn_2_3k: f, t.
m_sn_gt_1k: f, t.
m_sn_gt_2k: f, t.
m_sn_gt_3k: f, t.
m_sn_gt_4k: f, t.
m_sn_gt_500: f, t.
m_sn_gt_6k: f, t.
m_sn_lt_1k: f, t.
m_sn_lt_2k: f, t.
m_sn_lt_3k: f, t.
middle_wave_poor: f, t.
mod_gt_4k: f, t.
mod_mixed: f, t.
mod_s_mixed: f, t.
mod_s_sn_gt_500: f, t.
mod_sn: f, t.
mod_sn_gt_1k: f, t.
mod_sn_gt_2k: f, t.
mod_sn_gt_3k: f, t.
mod_sn_gt_4k: f, t.
mod_sn_gt_500: f, t.
notch_4k: f, t.
notch_at_4k: f, t.
o_ar_c(): normal,elevated,absent.
o_ar_u(): normal,absent,elevated.
s_sn_gt_1k: f, t.
s_sn_gt_2k: f, t.
s_sn_gt_4k: f, t.
speech(): normal,good,very_good,very_poor,poor,unmeasured.
static_normal: f, t.
tymp(): a,as,b,ad,c.
viith_nerve_signs: f, t.
wave_V_delayed: f, t.
waveform_ItoV_prolonged: f, t.
indentifier (unique for each instance)

class:
cochlear_unknown,mixed_cochlear_age_fixation,poss_central
mixed_cochlear_age_otitis_media,mixed_poss_noise_om,
cochlear_age,normal_ear,cochlear_poss_noise,cochlear_age_and_noise,
acoustic_neuroma,mixed_cochlear_unk_ser_om,conductive_discontinuity,
retrocochlear_unknown,conductive_fixation,bells_palsy,
cochlear_noise_and_heredity,mixed_cochlear_unk_fixation,
otitis_media,possible_menieres,possible_brainstem_disorder,
cochlear_age_plus_poss_menieres,mixed_cochlear_age_s_om,
mixed_cochlear_unk_discontinuity,mixed_poss_central_om"
8,liver-disorders,"**Author**: BUPA Medical Research Ltd. Donor: Richard S. Forsyth   
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Liver+Disorders) - 5/15/1990  
**Please cite**: 

**BUPA liver disorders**
 
The first 5 variables are all blood tests which are thought to be sensitive to liver disorders that might arise from excessive alcohol consumption.  Each line in the dataset constitutes the record of a single male individual. 

**Important note:** The 7th field (selector) has been widely misinterpreted in the past as a dependent variable representing presence or absence of a liver disorder. This is incorrect [1]. The 7th field was created by BUPA researchers as a train/test selector. It is not suitable as a dependent variable for classification. The dataset does not contain any variable representing presence or absence of a liver disorder. Researchers who wish to use this dataset as a classification benchmark should follow the method used in experiments by the donor (Forsyth & Rada, 1986, Machine learning: applications in expert systems and information retrieval) and others (e.g. Turney, 1995, Cost-sensitive classification: Empirical evaluation of a hybrid genetic decision tree induction algorithm), who used the 6th field (drinks), after dichotomising, as a dependent variable for classification. Because of widespread misinterpretation in the past, researchers should take care to state their method clearly.
 
**Attribute information**  
    1. mcv mean corpuscular volume  
    2. alkphos alkaline phosphotase  
    3. sgpt alanine aminotransferase  
    4. sgot  aspartate aminotransferase  
    5. gammagt gamma-glutamyl transpeptidase  
    6. drinks number of half-pint equivalents of alcoholic beverages drunk per day  
    7. selector field created by the BUPA researchers to split the data into train/test sets  

[1] McDermott & Forsyth 2016, Diagnosing a disorder in a classification benchmark, Pattern Recognition Letters, Volume 73. Note Forsyth is named on the UCI page as the original donor of the dataset."
9,autos,"**Author**: Jeffrey C. Schlimmer (Jeffrey.Schlimmer@a.gp.cs.cmu.edu)   
**Source**: [UCI](https://archive.ics.uci.edu/ml/datasets/Automobile) - 1987  
**Please cite**:   

**1985 Auto Imports Database**  
This data set consists of three types of entities: (a) the specification of an auto in terms of various characteristics, (b) its assigned insurance risk rating, (c) its normalized losses in use as compared to other cars.  The second rating corresponds to the degree to which the auto is more risky than its price indicates. Cars are initially assigned a risk factor symbol associated with its price.   Then, if it is more risky (or less), this symbol is adjusted by moving it up (or down) the scale.  Actuarians call this process ""symboling"".  A value of +3 indicates that the auto is risky, -3 that it is probably pretty safe.
 
The third factor is the relative average loss payment per insured vehicle year.  This value is normalized for all autos within a particular size classification (two-door small, station wagons, sports/speciality, etc...), and represents the average loss per car per year.
 
Several of the attributes in the database could be used as a ""class"" attribute.

Sources:  
1) 1985 Model Import Car and Truck Specifications, 1985 Ward's Automotive Yearbook.
2) Personal Auto Manuals, Insurance Services Office, 160 Water Street, New York, NY 10038 
3) Insurance Collision Report, Insurance Institute for Highway Safety, Watergate 600, Washington, DC 20037
 
Past Usage:  
Kibler,~D., Aha,~D.~W., & Albert,~M. (1989).  Instance-based prediction of real-valued attributes.  {it Computational Intelligence}, {it 5}, 51--57.

 
Attribute Information:
>
   1. symboling:                -3, -2, -1, 0, 1, 2, 3.
   2. normalized-losses:        continuous from 65 to 256.
   3. make:                     alfa-romero, audi, bmw, chevrolet, dodge, honda,
                                isuzu, jaguar, mazda, mercedes-benz, mercury,
                                mitsubishi, nissan, peugot, plymouth, porsche,
                                renault, saab, subaru, toyota, volkswagen, volvo
   4. fuel-type:                diesel, gas.
   5. aspiration:               std, turbo.
   6. num-of-doors:             four, two.
   7. body-style:               hardtop, wagon, sedan, hatchback, convertible.
   8. drive-wheels:             4wd, fwd, rwd.
   9. engine-location:          front, rear.
  10. wheel-base:               continuous from 86.6 120.9.
  11. length:                   continuous from 141.1 to 208.1.
  12. width:                    continuous from 60.3 to 72.3.
  13. height:                   continuous from 47.8 to 59.8.
  14. curb-weight:              continuous from 1488 to 4066.
  15. engine-type:              dohc, dohcv, l, ohc, ohcf, ohcv, rotor.
  16. num-of-cylinders:         eight, five, four, six, three, twelve, two.
  17. engine-size:              continuous from 61 to 326.
  18. fuel-system:              1bbl, 2bbl, 4bbl, idi, mfi, mpfi, spdi, spfi.
  19. bore:                     continuous from 2.54 to 3.94.
  20. stroke:                   continuous from 2.07 to 4.17.
  21. compression-ratio:        continuous from 7 to 23.
  22. horsepower:               continuous from 48 to 288.
  23. peak-rpm:                 continuous from 4150 to 6600.
  24. city-mpg:                 continuous from 13 to 49.
  25. highway-mpg:              continuous from 16 to 54.
  26. price:                    continuous from 5118 to 45400."
10,lymph,"**Author**:   
**Source**: Unknown -   
**Please cite**:   

Citation Request:
    This lymphography domain was obtained from the University Medical Centre,
    Institute of Oncology, Ljubljana, Yugoslavia.  Thanks go to M. Zwitter and 
    M. Soklic for providing the data.  Please include this citation if you plan
    to use this database.
 
 1. Title: Lymphography Domain
 
 2. Sources: 
     (a) See Above.
     (b) Donors: Igor Kononenko, 
                 University E.Kardelj
                 Faculty for electrical engineering
                 Trzaska 25
                 61000 Ljubljana (tel.: (38)(+61) 265-161
 
                 Bojan Cestnik
                 Jozef Stefan Institute
                 Jamova 39
                 61000 Ljubljana
                 Yugoslavia (tel.: (38)(+61) 214-399 ext.287) 
    (c) Date: November 1988
 
 3. Past Usage: (sveral)
     1. Cestnik,G., Konenenko,I, & Bratko,I. (1987). Assistant-86: A
        Knowledge-Elicitation Tool for Sophisticated Users.  In I.Bratko
        & N.Lavrac (Eds.) Progress in Machine Learning, 31-45, Sigma Press.
        -- Assistant-86: 76% accuracy
     2. Clark,P. & Niblett,T. (1987). Induction in Noisy Domains.  In
        I.Bratko & N.Lavrac (Eds.) Progress in Machine Learning, 11-30,
        Sigma Press.
        -- Simple Bayes: 83% accuracy
        -- CN2 (99% threshold): 82%
     3. Michalski,R., Mozetic,I. Hong,J., & Lavrac,N. (1986).  The Multi-Purpose
        Incremental Learning System AQ15 and its Testing Applications to Three
        Medical Domains.  In Proceedings of the Fifth National Conference on
        Artificial Intelligence, 1041-1045. Philadelphia, PA: Morgan Kaufmann.
        -- Experts: 85% accuracy (estimate)
        -- AQ15: 80-82%
 
 4. Relevant Information:
      This is one of three domains provided by the Oncology Institute
      that has repeatedly appeared in the machine learning literature.
      (See also breast-cancer and primary-tumor.)
 
 5. Number of Instances: 148
 
 6. Number of Attributes: 19 including the class attribute
 
 7. Attribute information:
     --- NOTE: All attribute values in the database have been entered as
               numeric values corresponding to their index in the list
               of attribute values for that attribute domain as given below.
     1. class: normal find, metastases, malign lymph, fibrosis
     2. lymphatics: normal, arched, deformed, displaced
     3. block of affere: no, yes
     4. bl. of lymph. c: no, yes
     5. bl. of lymph. s: no, yes
     6. by pass: no, yes
     7. extravasates: no, yes
     8. regeneration of: no, yes
     9. early uptake in: no, yes
    10. lym.nodes dimin: 0-3
    11. lym.nodes enlar: 1-4
    12. changes in lym.: bean, oval, round
    13. defect in node: no, lacunar, lac. marginal, lac. central
    14. changes in node: no, lacunar, lac. margin, lac. central
    15. changes in stru: no, grainy, drop-like, coarse, diluted, reticular, 
                         stripped, faint, 
    16. special forms: no, chalices, vesicles
    17. dislocation of: no, yes
    18. exclusion of no: no, yes
    19. no. of nodes in: 0-9, 10-19, 20-29, 30-39, 40-49, 50-59, 60-69, >=70
 
 8. Missing Attribute Values: None
 
 9. Class Distribution: 
     Class:        Number of Instances:
     normal find:  2
     metastases:   81
     malign lymph: 61
     fibrosis:     4
 
 




 Relabeled values in attribute 'lymphatics'
    From: '1'                     To: normal              
    From: '2'                     To: arched              
    From: '3'                     To: deformed            
    From: '4'                     To: displaced           


 Relabeled values in attribute 'block_of_affere'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'bl_of_lymph_c'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'bl_of_lymph_s'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'by_pass'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'extravasates'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'regeneration_of'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'early_uptake_in'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'changes_in_lym'
    From: '1'                     To: bean                
    From: '2'                     To: oval                
    From: '3'                     To: round               


 Relabeled values in attribute 'defect_in_node'
    From: '1'                     To: no                  
    From: '2'                     To: lacunar             
    From: '3'                     To: lac_margin          
    From: '4'                     To: lac_central         


 Relabeled values in attribute 'changes_in_node'
    From: '1'                     To: no                  
    From: '2'                     To: lacunar             
    From: '3'                     To: lac_margin          
    From: '4'                     To: lac_central         


 Relabeled values in attribute 'changes_in_stru'
    From: '1'                     To: no                  
    From: '2'                     To: grainy              
    From: '3'                     To: drop_like           
    From: '4'                     To: coarse              
    From: '5'                     To: diluted             
    From: '6'                     To: reticular           
    From: '7'                     To: stripped            
    From: '8'                     To: faint               


 Relabeled values in attribute 'special_forms'
    From: '1'                     To: no                  
    From: '2'                     To: chalices            
    From: '3'                     To: vesicles            


 Relabeled values in attribute 'dislocation_of'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'exclusion_of_no'
    From: '1'                     To: no                  
    From: '2'                     To: yes                 


 Relabeled values in attribute 'class'
    From: '1'                     To: normal              
    From: '2'                     To: metastases          
    From: '3'                     To: malign_lymph        
    From: '4'                     To: fibrosis"
11,balance-scale,"**Author**: Siegler, R. S. (donated by Tim Hume)  
**Source**: [UCI](http://archive.ics.uci.edu/ml/datasets/balance+scale) - 1994  
**Please cite**: [UCI](https://archive.ics.uci.edu/ml/citation_policy.html)   

**Balance Scale Weight & Distance Database**  
This data set was generated to model psychological experimental results.  Each example is classified as having the balance scale tip to the right, tip to the left, or be balanced. The attributes are the left weight, the left distance, the right weight, and the right distance. The correct way to find the class is the greater of (left-distance * left-weight) and (right-distance * right-weight). If they are equal, it is balanced.

### Attribute description  
The attributes are the left weight, the left distance, the right weight, and the right distance.

### Relevant papers  
Shultz, T., Mareschal, D., & Schmidt, W. (1994). Modeling Cognitive Development on Balance Scale Phenomena. Machine Learning, Vol. 16, pp. 59-88."
